name,description,brand,price,category,subCategory,thirdCategory,countInStock,image,location,createdAt,isActive
Apple iPhone 13,128GB smartphone with A15 chip,Apple,599,Mobiles,Smartphones,iOS,25,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=600&auto=format&fit=crop&q=60,New York USA,2025-12-20T10:00:00.000Z,true
Samsung Galaxy S21,128GB AMOLED display,Samsung,549,Mobiles,Smartphones,Android,30,https://images.unsplash.com/photo-1603808033171-8e2b0d4b5c48?w=600&auto=format&fit=crop&q=60,San Francisco USA,2025-12-19T12:30:00.000Z,true
Dell XPS 13,13-inch ultrabook with Intel i7,Dell,899,Computers & Laptops,Laptops,Ultrabook,18,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=60,Chicago USA,2025-12-18T08:45:00.000Z,true
HP Pavilion 15,15-inch laptop with Ryzen 5,HP,699,Computers & Laptops,Laptops,Everyday,22,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?w=600&auto=format&fit=crop&q=60,Austin USA,2025-12-22T15:00:00.000Z,true
Canon EOS 200D,Entry-level DSLR camera,Canon,479,Cameras & Lenses,Cameras,DSLR,16,https://images.unsplash.com/photo-1519183071298-a2962be96d57?w=600&auto=format&fit=crop&q=60,Los Angeles USA,2025-12-21T11:20:00.000Z,true
Sony Alpha a6400,Mirrorless camera 24MP,Sony,799,Cameras & Lenses,Cameras,Mirrorless,12,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b?w=600&auto=format&fit=crop&q=60,Seattle USA,2025-12-17T14:00:00.000Z,true
Lenovo ThinkPad E14,Business laptop i5,Lenovo,629,Computers & Laptops,Laptops,Business,25,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=60,Boston USA,2025-12-16T09:00:00.000Z,true
Apple iPad Air,10.9-inch tablet,Apple,499,Electronics & Appliances,Tablets,Tablet,28,https://images.unsplash.com/photo-1542751110-97427bbecf20?w=600&auto=format&fit=crop&q=60,Miami USA,2025-12-22T09:10:00.000Z,true
Samsung Galaxy Tab S7,11-inch tablet,Samsung,429,Electronics & Appliances,Tablets,Android Tablet,20,https://images.unsplash.com/photo-1580910051073-b5162b62b02d?w=600&auto=format&fit=crop&q=60,Portland USA,2025-12-20T16:10:00.000Z,true
Whirlpool 1.5T AC,Split AC energy efficient,Whirlpool,389,Electronics & Appliances,AC,Split AC,10,https://images.unsplash.com/photo-1601510676400-9b6ff8b3e135?w=600&auto=format&fit=crop&q=60,Houston USA,2025-12-15T10:10:00.000Z,true
